x,y,scale,laplacian
89.38184219,12.49318933,1.993673173,1
39.91154031,13.0650934,1.755120829,1
166.2375554,13.52754106,2.157781844,1
127.4399106,16.15807826,1.890579341,1
560.442278,15.48086904,1.963632019,1
44.82694049,17.45653231,2.018079181,0
157.9350089,17.56785316,1.97812958,0
207.589166,18.03375962,1.720789916,1
269.3815482,17.7054529,2.064808608,1
552.2745443,17.57951673,1.891475362,1
580.5150844,18.02951965,1.815200971,0
593.3087445,18.08264997,2.084665435,0
583.2255775,19.86993888,2.050597805,0
984.6916671,19.32921176,2.082100483,0
157.6107076,22.76252839,2.175924799,0
449.9550458,21.54017601,1.807070382,0
540.137963,21.99996475,2.063436615,1
615.7577959,21.92080369,2.154561462,1
972.5774477,21.90999821,2.212658553,0
52.36435282,23.0309202,1.862863567,1
530.8933048,23.47516514,1.932691596,1
557.1079523,24.23339967,2.065666718,0
207.9973627,25.69167344,1.860675927,1
519.7655323,26.50566156,2.084914176,1
56.74251775,28.10535427,1.881835648,0
269.8553254,27.60496499,2.070265219,1
823.8043506,27.98863479,2.160531896,0
921.9603448,27.85134754,2.097033398,0
906.2848844,30.2374641,1.834975347,0
157.732464,31.43677202,1.699786422,0
208.0785448,32.086978,2.159661054,1
225.7918885,33.84543744,2.140141472,0
415.2600344,33.22383339,2.059130384,0
918.2560213,33.72576992,1.757189762,1
195.9481341,38.15100742,2.011354541,1
249.41629,38.45055264,2.253793117,1
269.0643496,37.71793819,2.117615005,1
161.1961168,39.00113155,1.765064925,0
209.1206589,39.96501979,1.702729732,1
303.6324964,40.19087506,2.028492497,0
478.436016,39.87054844,2.059443114,1
618.2573811,40.06661412,2.005060057,1
89.73682514,42.3543815,1.760014602,1
202.4537836,42.21809452,1.894773424,0
470.2519095,41.79794981,1.889177198,1
135.1231892,43.91879318,1.827521819,0
771.2756097,44.08743067,2.041381302,1
247.3648555,45.17600323,1.695585892,0
390.7094014,45.49515666,1.748483321,1
576.2294254,45.27749317,1.930734946,1
730.0795009,46.14322301,2.112618139,0
917.8379459,46.43558043,2.076342898,1
69.58783238,48.33500307,2.044917992,1
160.3822762,47.14907265,1.944037449,0
209.8519347,47.74478005,1.99847424,1
438.1241091,48.03121992,1.773327398,1
924.377214,47.51606972,2.120331501,0
521.1849373,49.05689685,2.048882178,1
537.7533531,50.12147815,2.25118145,0
180.1344239,52.39514619,2.093256699,1
267.0810268,52.71542788,1.954608901,0
419.2724531,52.22047464,1.860525347,1
346.3340295,54.33967611,1.913338567,0
819.5424602,54.56595283,2.129193249,1
438.3187749,55.87276038,1.823756744,0
479.5507284,55.13963524,1.837732184,0
168.6535663,57.74301906,1.74620432,1
709.6548849,57.81809905,2.069857024,1
161.8588311,61.55601926,1.92922944,0
494.0517693,64.37611038,2.33758491,0
229.8973197,65.6147519,1.920262352,1
932.1269905,65.94246361,1.929146502,1
19.76497024,68.01462908,2.179006075,1
75.28719576,68.37636575,1.914770073,0
199.6821456,68.20308111,1.724452001,1
368.2962909,68.05646751,2.257148793,0
925.8345914,67.6273617,1.968849773,0
82.39548948,73.21374192,1.912718488,1
137.5179753,74.29315198,1.780216063,0
360.4158481,74.68500803,2.083655637,1
398.2109124,74.73137777,1.984712274,1
703.9549416,74.08256944,2.125474111,0
196.6633596,75.31571726,2.037240396,0
306.3190391,76.16049187,2.066542479,0
349.5690807,76.06228336,2.111935349,1
370.2848208,76.34269877,2.181189311,0
712.4342943,78.23827907,2.017632558,1
936.5428736,78.15175519,2.00103368,0
22.4238269,80.83598827,1.81116343,0
237.3375248,79.75659398,2.173125759,1
334.8596045,80.26706307,2.063458522,1
385.4752455,79.93274996,1.99983657,1
687.3336591,79.28283245,2.090080072,0
487.5393516,81.9062294,2.115501925,0
695.8308136,82.03021134,2.039182729,1
223.6292421,83.48041112,2.25800138,1
337.4464583,90.36760217,1.786512885,1
51.52667957,91.11534628,2.105769036,0
121.463667,91.82877113,2.048838632,1
247.5144859,92.05124755,2.003810777,0
584.3714843,91.41173405,2.044318966,1
931.450008,91.78825604,1.98511191,1
280.8574858,94.73323878,2.041504365,0
522.5958563,93.60083454,1.933138194,1
66.88226683,96.0882577,1.935190523,1
884.2699707,95.89686417,1.729373299,0
911.0440446,96.67247691,2.06076288,1
39.64636311,99.59263696,1.958536018,0
97.85295503,99.49397237,1.839664044,1
18.57104505,101.3347044,1.959578302,1
641.9854522,103.3284064,2.082128213,0
79.42829841,105.403882,1.844335596,1
176.6275473,107.7449604,2.127261091,0
239.3187513,107.9077538,2.043008426,1
409.228602,107.2635818,1.969729338,1
578.1443782,107.947539,2.094991429,0
628.2840384,107.7300772,2.27314746,0
19.63427928,109.5910199,1.996445755,1
59.91061644,111.7393914,2.011325642,1
220.0574922,112.4467327,2.009717932,1
24.25473555,114.3281011,1.820115206,0
466.3821216,114.0442024,2.202858582,0
39.36993061,115.5606463,1.910358966,0
206.0849973,115.4602453,1.838161295,1
188.2852678,120.1345406,2.017417723,1
545.4955507,120.1029451,1.876412637,0
205.0861964,122.2463499,1.662133308,0
743.3554407,122.1821491,2.007526822,0
756.3704362,121.2590157,2.069653843,0
579.7644122,124.7223883,2.0298684,0
600.2029784,124.7849434,2.273196941,0
971.024417,124.4029791,2.060625051,0
638.4468655,127.9673729,1.990317526,1
96.31420273,132.7082174,1.773283999,1
198.3731768,131.6000515,1.911361962,1
647.4138908,131.4886986,1.99386356,0
223.6739738,134.428272,2.13418142,0
87.15390515,135.8607896,2.118527516,1
580.6416586,135.5587326,1.949431571,0
702.6681434,135.3239935,2.031940419,1
413.409606,137.8385687,1.833230281,1
115.6426191,140.4070039,2.213434851,0
105.4563351,142.4096431,1.79622427,0
217.6413868,142.0380297,1.874133015,1
960.2236782,142.5223073,2.125349943,1
136.4514436,144.1184594,1.85491749,1
608.6733667,145.5864228,2.124507139,1
21.95822038,147.8443557,2.111928982,1
217.8045436,150.3781907,2.113904567,1
225.8420368,149.6024369,2.342866707,0
240.3728281,150.6315223,2.127966362,0
820.5020236,151.7522126,2.071427414,1
389.1999129,154.3113402,2.018124971,1
960.0668319,153.9117392,1.655811471,1
413.8794739,156.578656,2.156829179,1
609.7444031,157.698952,2.173760902,1
871.5897896,158.7943032,2.218113301,0
41.45293079,160.6856637,1.946787252,1
58.28219901,159.6851021,1.981216023,1
617.5594497,160.3120406,2.277691146,0
954.2966185,159.5952108,2.291779736,0
141.3242183,161.9447384,2.187062767,1
844.5746089,162.3530729,2.150677506,0
943.8337571,161.776301,1.983280116,0
218.65941,164.9232436,1.972575248,1
226.7885297,164.6362696,2.108133054,0
248.4537922,165.8550864,1.856463628,1
514.4729841,168.0160053,1.956691071,0
813.0214818,167.7276112,2.361470045,0
114.894153,170.5293562,2.006097606,1
793.6372843,170.3227698,2.105147826,0
219.7673371,172.7488522,1.967783671,1
416.2899765,173.333002,2.17720945,1
478.8178268,174.2277721,2.348860031,0
474.5281625,176.0056987,1.754810877,0
873.7553804,175.2256221,2.201914589,1
179.8664653,179.8731683,1.789398386,1
194.071142,179.9339404,2.081366141,0
701.9506532,180.3199576,2.008213509,1
720.7609399,180.6970681,1.72334981,0
844.2468263,179.267159,2.170129466,1
129.9832274,184.3924355,2.084259824,1
804.8260557,183.8450961,1.860178766,1
433.4977449,185.9567458,2.125196842,0
698.4917338,187.4069786,2.13132208,0
882.1675632,187.2189368,1.961322056,1
405.972315,190.5557702,1.87368201,0
